Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16651208k(10125744k free), swap 17699784k(8723076k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-01-23T15:06:10.943+0800: 0.254: [Full GC (Ergonomics) [PSYoungGen: 14685K->13892K(29184K)] [ParOldGen: 86981K->86981K(87552K)] 101666K->100873K(116736K), [Metaspace: 2723K->2723K(1056768K)], 0.0019308 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-01-23T15:06:10.945+0800: 0.256: [Full GC (Ergonomics) [PSYoungGen: 14660K->13806K(29184K)] [ParOldGen: 86981K->86981K(87552K)] 101642K->100787K(116736K), [Metaspace: 2723K->2723K(1056768K)], 0.0018012 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-23T15:06:10.947+0800: 0.258: [Full GC (Ergonomics) [PSYoungGen: 14840K->14359K(29184K)] [ParOldGen: 86981K->86956K(87552K)] 101822K->101316K(116736K), [Metaspace: 2723K->2723K(1056768K)], 0.0032153 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-23T15:06:10.950+0800: 0.262: [Full GC (Ergonomics) [PSYoungGen: 14772K->14359K(29184K)] [ParOldGen: 86956K->86956K(87552K)] 101729K->101316K(116736K), [Metaspace: 2723K->2723K(1056768K)], 0.0017539 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-23T15:06:10.952+0800: 0.264: [Full GC (Ergonomics) [PSYoungGen: 14668K->14359K(29184K)] [ParOldGen: 86956K->86956K(87552K)] 101625K->101316K(116736K), [Metaspace: 2723K->2723K(1056768K)], 0.0013050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-23T15:06:10.954+0800: 0.265: [Full GC (Ergonomics) [PSYoungGen: 14845K->14359K(29184K)] [ParOldGen: 86956K->86956K(87552K)] 101802K->101316K(116736K), [Metaspace: 2723K->2723K(1056768K)], 0.0014365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-23T15:06:10.955+0800: 0.267: [Full GC (Ergonomics) [PSYoungGen: 14789K->14359K(29184K)] [ParOldGen: 86956K->86956K(87552K)] 101746K->101316K(116736K), [Metaspace: 2723K->2723K(1056768K)], 0.0013337 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-23T15:06:10.957+0800: 0.268: [Full GC (Ergonomics) [PSYoungGen: 14842K->14394K(29184K)] [ParOldGen: 86956K->86956K(87552K)] 101798K->101351K(116736K), [Metaspace: 2723K->2723K(1056768K)], 0.0014471 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-23T15:06:10.959+0800: 0.270: [Full GC (Ergonomics) [PSYoungGen: 14801K->14565K(29184K)] [ParOldGen: 86956K->86956K(87552K)] 101758K->101522K(116736K), [Metaspace: 2723K->2723K(1056768K)], 0.0014521 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-23T15:06:10.960+0800: 0.272: [Full GC (Ergonomics) [PSYoungGen: 14722K->14637K(29184K)] [ParOldGen: 86956K->86956K(87552K)] 101679K->101594K(116736K), [Metaspace: 2723K->2723K(1056768K)], 0.0012419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
