INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 57
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO Thead02_While com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_While ; 操作数： 56
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO Thead02_While com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_While ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO Thead02_While com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_While ; 操作数： 56
INFO Thead02_While com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_While ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO Thead02_While com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_While ; 操作数： 56
INFO Thead02_While com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_While ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO Thead02_While com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_While ; 操作数： 56
INFO Thead02_While com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_While ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 57
INFO Thead02_While com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_While ; 操作数： 56
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO Thead02_While com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_While ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO Thead02_Sleep com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_Sleep ; 操作数： 56
INFO Thead02_Sleep com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_Sleep ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 57
INFO Thead01_Join com.ykfjava.week04.Thead01_Join - 当前线程 ： Thead01_Join ; 操作数： 56
INFO Thead01_Join com.ykfjava.week04.Thead01_Join - 当前线程 ： Thead01_Join ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead01_Join - 当前线程 ： main ; 操作数： 56
INFO main com.ykfjava.week04.Thead01_Join - 当前线程 ： main ; 操作数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO Thead02_Sleep com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_Sleep ; 操作数： 56
INFO Thead02_Sleep com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_Sleep ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 57
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作数： 56
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 56
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作数： 56
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作数： 56
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： com.ykfjava.week04.model.Entity@37a71e93
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作数： 56
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 57
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 状态： 运行中 ; 当前线程 ： main ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作数： 56
INFO Thread-0 com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： Thread-0 ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead03_Callable_FutureTask - 当前线程 ： main ; 操作数： 57
INFO pool-1-thread-1 com.ykfjava.week04.Thead03_Callable_pool - 当前线程 ： pool-1-thread-1 ; 操作数： 56
INFO pool-1-thread-1 com.ykfjava.week04.Thead03_Callable_pool - 当前线程 ： pool-1-thread-1 ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead03_Callable_pool - 状态： 运行中 ; 当前线程 ： main ; 操作数： 57
INFO main com.ykfjava.week04.Thead03_Callable_pool - 当前线程 ： main ; 操作数： 57
INFO Thead02_Sleep com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_Sleep ; 操作数： 56
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 56
INFO Thead02_Sleep com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead02_Sleep ; 操作之后数： 57
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 57
